Func Alg Verts Edges Searched_Paths Expanded_Verts
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
expLine EK 8 10 4 35
expLine EK 22 40 10 184
expLine EK 74 142 24 1419
expLine EK 274 772 422 101820
expLine EK 1058 4049 3820 3900507
expLine FF 8 10 4 31
expLine FF 22 40 10 90
expLine FF 74 142 17 417
expLine FF 274 772 555 35623
expLine FF 1058 4049 22648 4075284
expLine EK 8 10 4 35
expLine EK 22 38 10 193
expLine EK 74 144 37 2359
expLine EK 274 773 409 102089
expLine EK 1058 4028 3994 4066306
expLine FF 8 10 4 26
expLine FF 22 38 10 109
expLine FF 74 144 34 683
expLine FF 274 773 1258 109017
expLine FF 1058 4028 392928 153395757
expLine EK 8 10 3 24
expLine EK 22 40 14 304
expLine EK 74 141 24 1503
expLine EK 274 769 317 78914
expLine EK 1058 4039 4005 4120631
expLine FF 8 10 3 19
expLine FF 22 40 9 117
expLine FF 74 141 26 713
expLine FF 274 769 442 24746
expLine FF 1058 4039 116591 38254965
expLine EK 8 10 3 25
expLine EK 22 38 10 179
expLine EK 74 147 46 2765
expLine EK 274 782 428 107649
expLine EK 1058 4022 4173 4224930
expLine FF 8 10 3 21
expLine FF 22 38 10 109
expLine FF 74 147 42 1038
expLine FF 274 782 586 38921
expLine FF 1058 4022 377989 113789228
expLine EK 8 10 2 19
expLine EK 22 41 9 145
expLine EK 74 143 38 2350
expLine EK 274 784 492 125686
expLine EK 1058 4029 3606 3669005
expLine FF 8 10 2 16
expLine FF 22 41 8 80
expLine FF 74 143 34 811
expLine FF 274 784 1166 83844
expLine FF 1058 4029 136469 44958298
expLine EK 8 11 5 41
expLine EK 22 38 13 243
expLine EK 74 146 38 2210
expLine EK 274 764 359 89806
expLine EK 1058 4025 3565 3639191
expLine FF 8 11 5 29
expLine FF 22 38 12 140
expLine FF 74 146 40 793
expLine FF 274 764 565 36486
expLine FF 1058 4025 85913 27748805
expLine EK 8 11 3 27
expLine EK 22 39 10 176
expLine EK 74 141 47 3013
expLine EK 274 770 469 116759
expLine EK 1058 4050 4102 4147325
expLine FF 8 11 3 19
expLine FF 22 39 10 99
expLine FF 74 141 56 1384
expLine FF 274 770 494 26874
expLine FF 1058 4050 421106 150433318
expLine EK 8 11 4 30
expLine EK 22 42 16 343
expLine EK 74 142 42 2621
expLine EK 274 781 553 136606
expLine EK 1058 4031 3651 3720290
expLine FF 8 11 3 18
expLine FF 22 42 11 110
expLine FF 74 142 36 675
expLine FF 274 781 895 76254
expLine FF 1058 4031 27331 5044010
expLine EK 8 12 5 43
expLine EK 22 41 7 151
expLine EK 74 140 47 2880
expLine EK 274 765 356 85379
expLine EK 1058 4031 3529 3570923
expLine FF 8 12 5 31
expLine FF 22 41 7 73
expLine FF 74 140 50 1164
expLine FF 274 765 846 61057
expLine FF 1058 4031 32326 6215209
expLine EK 8 11 3 25
expLine EK 22 38 6 139
expLine EK 74 145 45 2777
expLine EK 274 768 427 106175
expLine EK 1058 4032 3540 3553182
expLine FF 8 11 2 16
expLine FF 22 38 6 80
expLine FF 74 145 36 780
expLine FF 274 768 838 58872
expLine FF 1058 4032 86004 27909529
expLine EK 8 11 5 39
expLine EK 22 38 8 161
expLine EK 74 144 41 2513
expLine EK 274 769 431 105250
expLine EK 1058 4024 3212 3270880
expLine FF 8 11 5 34
expLine FF 22 38 9 100
expLine FF 74 144 45 1001
expLine FF 274 769 792 58210
expLine FF 1058 4024 45625 12045444
expLine EK 8 9 2 19
expLine EK 22 42 11 212
expLine EK 74 142 44 2664
expLine EK 274 764 411 102874
expLine EK 1058 4003 3645 3704045
expLine FF 8 9 2 16
expLine FF 22 42 11 125
expLine FF 74 142 42 901
expLine FF 274 764 1000 77549
expLine FF 1058 4003 142655 50735414
expLine EK 8 11 3 28
expLine EK 22 39 12 243
expLine EK 74 144 23 1201
expLine EK 274 778 488 124524
expLine EK 1058 4042 3598 3678794
expLine FF 8 11 3 21
expLine FF 22 39 12 130
expLine FF 74 144 24 508
expLine FF 274 778 1077 93486
expLine FF 1058 4042 128240 42288494
expLine EK 8 10 3 26
expLine EK 22 39 12 232
expLine EK 74 142 35 2203
expLine EK 274 779 584 150687
expLine EK 1058 4050 3936 4018297
expLine FF 8 10 3 24
expLine FF 22 39 12 121
expLine FF 74 142 33 839
expLine FF 274 779 1422 126728
expLine FF 1058 4050 213343 76993514
expLine EK 8 11 4 31
expLine EK 22 40 10 202
expLine EK 74 143 28 1675
expLine EK 274 774 396 98595
expLine EK 1058 4013 3101 3145387
expLine FF 8 11 4 22
expLine FF 22 40 10 100
expLine FF 74 143 28 700
expLine FF 274 774 767 54690
expLine FF 1058 4013 44064 13629979
expLine EK 8 12 3 27
expLine EK 22 40 15 294
expLine EK 74 147 35 1997
expLine EK 274 774 397 100929
expLine EK 1058 4025 3629 3657098
expLine FF 8 12 3 18
expLine FF 22 40 9 118
expLine FF 74 147 29 644
expLine FF 274 774 747 48718
expLine FF 1058 4025 124623 41508963
expLine EK 8 11 5 42
expLine EK 22 38 11 203
expLine EK 74 142 34 1886
expLine EK 274 775 382 98225
expLine EK 1058 4031 3871 3949551
expLine FF 8 11 5 33
expLine FF 22 38 11 136
expLine FF 74 142 33 833
expLine FF 274 775 708 50149
expLine FF 1058 4031 172969 57603656
expLine EK 8 10 3 21
expLine EK 22 40 10 182
expLine EK 74 141 31 1775
expLine EK 274 772 429 107762
expLine EK 1058 4034 4130 4176707
expLine FF 8 10 3 17
expLine FF 22 40 11 119
expLine FF 74 141 28 683
expLine FF 274 772 817 60802
expLine FF 1058 4034 294326 87538841
expLine EK 8 12 3 27
expLine EK 22 39 11 218
expLine EK 74 146 37 2127
expLine EK 274 778 519 133170
expLine EK 1058 4020 3667 3727958
expLine FF 8 12 3 22
expLine FF 22 39 12 117
expLine FF 74 146 36 730
expLine FF 274 778 1119 84669
expLine FF 1058 4020 308735 104619870
expLine EK 8 11 3 23
expLine EK 22 36 9 175
expLine EK 74 142 19 1216
expLine EK 274 770 377 94850
expLine EK 1058 4026 4063 4156894
expLine FF 8 11 3 18
expLine FF 22 36 8 96
expLine FF 74 142 17 435
expLine FF 274 770 594 40763
expLine FF 1058 4026 359416 130686071
expLine EK 8 11 3 27
expLine EK 22 36 12 195
expLine EK 74 141 41 2408
expLine EK 274 778 515 127223
expLine EK 1058 4044 4105 4167247
expLine FF 8 11 3 19
expLine FF 22 36 9 99
expLine FF 74 141 52 1016
expLine FF 274 778 1048 79360
expLine FF 1058 4044 625502 223636873
expLine EK 8 11 3 20
expLine EK 22 36 6 117
expLine EK 74 145 34 2066
expLine EK 274 776 512 124951
expLine EK 1058 4030 3720 3746018
expLine FF 8 11 3 17
expLine FF 22 36 5 63
expLine FF 74 145 28 622
expLine FF 274 776 621 41559
expLine FF 1058 4030 81913 18340745
expLine EK 8 11 4 30
expLine EK 22 40 8 127
expLine EK 74 147 49 3052
expLine EK 274 773 438 110928
expLine EK 1058 4018 3328 3375091
expLine FF 8 11 3 19
expLine FF 22 40 8 80
expLine FF 74 147 38 749
expLine FF 274 773 1102 87553
expLine FF 1058 4018 145266 48269836
expLine EK 8 12 4 34
expLine EK 22 37 14 260
expLine EK 74 146 42 2644
expLine EK 274 773 387 97796
expLine EK 1058 4030 3353 3409778
expLine FF 8 12 4 27
expLine FF 22 37 14 139
expLine FF 74 146 32 656
expLine FF 274 773 610 41260
expLine FF 1058 4030 126183 36868145
expLine EK 8 11 5 43
expLine EK 22 37 10 177
expLine EK 74 145 51 3399
expLine EK 274 774 477 117850
expLine EK 1058 4041 4183 4280431
expLine FF 8 11 4 28
expLine FF 22 37 7 74
expLine FF 74 145 49 1109
expLine FF 274 774 833 62529
expLine FF 1058 4041 345214 125766092
expLine EK 8 12 4 35
expLine EK 22 40 9 174
expLine EK 74 148 42 2760
expLine EK 274 772 492 125729
expLine EK 1058 4036 3930 3989273
expLine FF 8 12 5 35
expLine FF 22 40 10 113
expLine FF 74 148 38 802
expLine FF 274 772 715 52345
expLine FF 1058 4036 244596 74019845
expLine EK 8 11 4 36
expLine EK 22 39 7 111
expLine EK 74 143 36 2164
expLine EK 274 770 526 134341
expLine EK 1058 4037 3771 3832007
expLine FF 8 11 3 23
expLine FF 22 39 9 101
expLine FF 74 143 41 1028
expLine FF 274 770 1115 93161
expLine FF 1058 4037 178642 63792671
expLine EK 8 11 4 36
expLine EK 22 39 6 97
expLine EK 74 143 24 1588
expLine EK 274 774 439 112673
expLine EK 1058 4029 3674 3748592
expLine FF 8 11 3 21
expLine FF 22 39 6 64
expLine FF 74 143 26 632
expLine FF 274 774 794 65357
expLine FF 1058 4029 99482 28852314
expLine EK 8 11 3 23
expLine EK 22 38 9 173
expLine EK 74 142 41 2330
expLine EK 274 781 526 133779
expLine EK 1058 4029 3737 3822243
expLine FF 8 11 3 18
expLine FF 22 38 6 77
expLine FF 74 142 32 677
expLine FF 274 781 695 46802
expLine FF 1058 4029 146810 47909028
expLine EK 8 12 5 44
expLine EK 22 38 6 118
expLine EK 74 137 35 1985
expLine EK 274 777 412 101225
expLine EK 1058 4040 3432 3498826
expLine FF 8 12 4 30
expLine FF 22 38 6 72
expLine FF 74 137 36 791
expLine FF 274 777 724 50932
expLine FF 1058 4040 37553 12005423
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
goldBad EK 21 25 6 127
goldBad EK 63 81 20 1261
goldBad EK 219 289 72 15769
goldBad EK 819 1089 272 222769
goldBad EK 3171 4225 1056 3348577
goldBad FF 21 25 6 82
goldBad FF 63 81 20 691
goldBad FF 219 289 72 8101
goldBad FF 819 1089 272 112201
goldBad FF 3171 4225 1056 1677457
matching EK 14 24 6 69
matching EK 42 80 18 551
matching EK 146 288 60 5923
matching EK 546 1360 258 99122
matching EK 2114 6336 1035 1600172
matching FF 14 24 6 31
matching FF 42 80 18 189
matching FF 146 288 60 1135
matching FF 546 1360 258 8769
matching FF 2114 6336 1035 66339
matching EK 14 24 5 56
matching EK 42 80 17 575
matching EK 146 288 58 5745
matching EK 546 1360 258 99019
matching EK 2114 6336 1033 1596489
matching FF 14 24 5 41
matching FF 42 80 17 170
matching FF 146 288 58 963
matching FF 546 1360 258 5838
matching FF 2114 6336 1033 61338
matching EK 14 24 6 57
matching EK 42 80 15 462
matching EK 146 288 62 5765
matching EK 546 1360 252 97536
matching EK 2114 6336 1030 1596881
matching FF 14 24 6 29
matching FF 42 80 15 169
matching FF 146 288 62 856
matching FF 546 1360 252 6493
matching FF 2114 6336 1030 64201
matching EK 14 24 5 63
matching EK 42 80 17 517
matching EK 146 288 59 5660
matching EK 546 1360 254 99102
matching EK 2114 6336 1022 1588730
matching FF 14 24 5 34
matching FF 42 80 17 155
matching FF 146 288 59 1173
matching FF 546 1360 254 10568
matching FF 2114 6336 1022 59861
matching EK 14 24 5 54
matching EK 42 80 18 556
matching EK 146 288 59 5733
matching EK 546 1360 253 96425
matching EK 2114 6336 1030 1588705
matching FF 14 24 5 33
matching FF 42 80 18 105
matching FF 146 288 59 846
matching FF 546 1360 253 8253
matching FF 2114 6336 1030 60022
matching EK 14 24 5 63
matching EK 42 80 18 532
matching EK 146 288 57 5621
matching EK 546 1360 252 95832
matching EK 2114 6336 1035 1589807
matching FF 14 24 5 37
matching FF 42 80 18 150
matching FF 146 288 57 885
matching FF 546 1360 252 8204
matching FF 2114 6336 1035 58464
matching EK 14 24 5 57
matching EK 42 80 17 533
matching EK 146 288 57 5962
matching EK 546 1360 260 98034
matching EK 2114 6336 1035 1591412
matching FF 14 24 5 34
matching FF 42 80 17 162
matching FF 146 288 57 1073
matching FF 546 1360 260 8890
matching FF 2114 6336 1035 58017
matching EK 14 24 5 65
matching EK 42 80 17 511
matching EK 146 288 59 5546
matching EK 546 1360 255 95850
matching EK 2114 6336 1027 1613514
matching FF 14 24 5 34
matching FF 42 80 17 116
matching FF 146 288 59 1213
matching FF 546 1360 255 8202
matching FF 2114 6336 1027 70856
matching EK 14 24 5 64
matching EK 42 80 17 594
matching EK 146 288 60 5887
matching EK 546 1360 258 96930
matching EK 2114 6336 1037 1620799
matching FF 14 24 5 36
matching FF 42 80 17 176
matching FF 146 288 60 1008
matching FF 546 1360 258 6617
matching FF 2114 6336 1037 68561
matching EK 14 24 5 61
matching EK 42 80 17 512
matching EK 146 288 63 6111
matching EK 546 1360 253 97785
matching EK 2114 6336 1041 1611455
matching FF 14 24 5 41
matching FF 42 80 17 207
matching FF 146 288 63 697
matching FF 546 1360 253 11562
matching FF 2114 6336 1041 59854
matching EK 14 24 6 72
matching EK 42 80 17 526
matching EK 146 288 62 6019
matching EK 546 1360 254 98908
matching EK 2114 6336 1028 1584817
matching FF 14 24 6 35
matching FF 42 80 17 168
matching FF 146 288 62 1152
matching FF 546 1360 254 7524
matching FF 2114 6336 1028 63020
matching EK 14 24 6 69
matching EK 42 80 18 513
matching EK 146 288 65 6332
matching EK 546 1360 253 96739
matching EK 2114 6336 1036 1612857
matching FF 14 24 6 29
matching FF 42 80 18 152
matching FF 146 288 65 930
matching FF 546 1360 253 8432
matching FF 2114 6336 1036 69092
matching EK 14 24 5 58
matching EK 42 80 16 520
matching EK 146 288 62 6076
matching EK 546 1360 258 96724
matching EK 2114 6336 1031 1613858
matching FF 14 24 5 36
matching FF 42 80 16 135
matching FF 146 288 62 779
matching FF 546 1360 258 7212
matching FF 2114 6336 1031 66086
matching EK 14 24 6 62
matching EK 42 80 16 505
matching EK 146 288 59 5690
matching EK 546 1360 256 97869
matching EK 2114 6336 1030 1592679
matching FF 14 24 6 35
matching FF 42 80 16 107
matching FF 146 288 59 1089
matching FF 546 1360 256 6807
matching FF 2114 6336 1030 62865
matching EK 14 24 6 61
matching EK 42 80 18 481
matching EK 146 288 58 5488
matching EK 546 1360 252 96794
matching EK 2114 6336 1032 1603970
matching FF 14 24 6 35
matching FF 42 80 18 142
matching FF 146 288 58 614
matching FF 546 1360 252 5686
matching FF 2114 6336 1032 59223
matching EK 14 24 6 70
matching EK 42 80 18 548
matching EK 146 288 59 5756
matching EK 546 1360 266 100918
matching EK 2114 6336 1035 1629411
matching FF 14 24 6 31
matching FF 42 80 18 159
matching FF 146 288 59 1092
matching FF 546 1360 266 6234
matching FF 2114 6336 1035 68299
matching EK 14 24 5 68
matching EK 42 80 19 537
matching EK 146 288 62 5930
matching EK 546 1360 257 96435
matching EK 2114 6336 1028 1582257
matching FF 14 24 5 30
matching FF 42 80 19 165
matching FF 146 288 62 946
matching FF 546 1360 257 8224
matching FF 2114 6336 1028 77175
matching EK 14 24 6 69
matching EK 42 80 16 486
matching EK 146 288 59 5773
matching EK 546 1360 255 97034
matching EK 2114 6336 1028 1595587
matching FF 14 24 6 29
matching FF 42 80 16 151
matching FF 146 288 59 1240
matching FF 546 1360 255 9508
matching FF 2114 6336 1028 58469
matching EK 14 24 6 66
matching EK 42 80 18 544
matching EK 146 288 64 6102
matching EK 546 1360 251 96686
matching EK 2114 6336 1035 1600693
matching FF 14 24 6 27
matching FF 42 80 18 141
matching FF 146 288 64 823
matching FF 546 1360 251 8460
matching FF 2114 6336 1035 59022
matching EK 14 24 6 62
matching EK 42 80 17 525
matching EK 146 288 63 6172
matching EK 546 1360 252 96747
matching EK 2114 6336 1034 1603521
matching FF 14 24 6 37
matching FF 42 80 17 141
matching FF 146 288 63 1265
matching FF 546 1360 252 9670
matching FF 2114 6336 1034 61689
matching EK 14 24 5 64
matching EK 42 80 17 572
